area,section,question_type,question_id,question_subject,question_original,question_lite,a0,a1,a2,a3,a4,a5,more_info_link
Organisational Infrastructure,"Funding, Staff, Resources",RA,1.3.3.1,Training and professional development staff,The organisation assesses the training and professional development needs of its repository staff and has a strategic plan on how it will address the needs.Â,to do,There is no evidence that the organisation is assessing the training and professional development needs of its repository staff.,"The organisation assesses the training and professional development needs of its repository basis upon request or on an ad hoc basis. There is no evidence of a strategic training plan or policy in place, but one may be under development.",The organisation regularly assesses the training and professional development needs of its repository staff but there is no strategic plan or policy in place on how to address the needs.,"At regular intervals the organisation assesses the training and professional development needs of its repository staff. There is a strategic plan, or policy, in place that defines how needs should be addressed.",The organisation monitors the assessment process and alignment with the training and professional development strategic plan or policy document.,At regular intervals the training and professional development strategic plan or policy and the assessment process are reviewed and updated if necessary. Updates are documented.,
Organisational Infrastructure,"Funding, Staff, Resources",RA,1.3.3.2,Training and development plans staff,The organisation has in place an active professional development program and prepares training and professional development plans with its repository staff and ensures that these are enacted.,to do,There is no evidence that training plans exist or are being used. There is no planned training.,There are no formal training plans. Informal agreements with some members of staff about training and professional development are made.,Training and professional development planning exists. There is no formal assurance that these are carried out.,There are training and professional development plans for all staff which are implemented through regular training.,Training plans are assessed and measured against organisational needs for personnel development.,Improvements to the process of creating training and professional development plans are reviewed at regular intervals.,
Organisational Infrastructure,"Funding, Staff, Resources",RA,1.3.3.3,Resources for training and development staff,The organisation ensures that there is adequate resources for the training and professional development needs of its repository staff.,to do,There is no evidence that adequate resources are being allocated for training and professional development.,"There are some resources available for training and professional development, but they are allocated on an ad hoc basis, as and when requested.","There are adequate resources to meet training and professional development needs, however there is no overall strategy to address training and professional development so it does not meet the organisational need.",There are adequate resources to meet the training and professional development needs of the repository staff and according to the strategic plan or training policy.,Resources utilised for training and professional development are assessed and measured at regular intervals.,Resource levels required for training and professional development are assessed at regular intervals and based upon the needs adjusted accordingly.,
Organisational Infrastructure,"Funding, Staff, Resources",RA,1.3.4.1,Appropriate staff to meet all functions,The organisation has the appropriate number of staff to support all repository functions and services.,to do,There is no evidence that the organisation has defined a level for the appropriate number of staff to support all functions and services. The number of staff appears to be inadequate to support all functions and services. Many core competencies are missing.,"There is evidence staffing is partially complete, either due to lack of resources or unable to employ qualified staff. The organisation has not defined the appropriate staffing level to support all repository functions and services.","There is evidence that there is likely to be an appropriate number of staff to support all repository functions and services, however the organisation has not defined what is the appropriate level.",The defined level for the appropriate number staff to support all functions and services is met.,Staffing levels appropriate to support functions and service needs are monitored and assessed at regular intervals. The monitoring is documented.,At regular intervals the appropriate staffing level is reviewed with respect to the function and service needs and the defined appropriate level is adjusted accordingly.,
Organisational Infrastructure,"Funding, Staff, Resources",RA,1.3.4.2,Roles and responsibilities within the organisation,"Roles and responsibilities within the repository, and for all functions and services, are clear to all the employees in the organisation.",to do,"There is no evidence that roles and responsibilities have been defined and described, or it is not necessary to define roles and responsibilities.",Roles and responsibilities within the repository are unassigned disorganised. Staff undertake tasks on an ad hoc basis.,Roles and responsibilities are partly defined; implicitly understood on individual basis; no formalised documentation.,"Roles and responsibilities has been recognised, documented and communicated throughout the organisation.",Roles and responsibilities are measured in terms of demand and activity.,"At regular intervals roles and responsibilities are reviewed, assessed and adapted as required.",
Organisational Infrastructure,Communication,GA,1.4.1.1,Communication plan,"A communication plan for the service is produced, and communication about the service to the relevant stakeholders is undertaken according to the plan.",to do,There is no communication plan for the service.,"There is no communication plan, but there is some ad hoc communication about the service.","There is no communication plan, but there is consistent regular communication with relevant stakeholders.","A communication plan for the service is produced, and consistent communication about the the service to the relevant stakeholders is undertaken.",Communications with relevant stakeholders is monitored and managed.,The communication plan is reviewed at regular intervals and updated if necessary based upon the monitoring of the communications.,
Organisational Infrastructure,"Confidentiality, Ethics and Disclosure Risk",RA,1.5.1.1,Data handling requirements,The organisation complies with applicable research discipline norms and legal data handling requirements.Â,to do,Not relevant or no requirement for compliance.,Informal and inconsistent adherence to legal and research discipline norms for handling confidential data.,"The organisation complies with norms consistently through repeated action, however there is no written procedures or procedures for exceptions and errors.","The organisation complies with norms and legal requirements through systematic written, formal procedures and policies.",Compliance to procedures and policies are monitored and assessed. Non-compliance incidents are recorded.,Reviews of the procedures and policies for compliance to research discipline norms for confidential data handling are performed at regular intervals.,
Organisational Infrastructure,"Confidentiality, Ethics and Disclosure Risk",RA,1.5.1.2,Confirmation about legal and ethical criteria data collection,"The organisation requests confirmation that data collection or creation was carried out in accordance with legal and ethical criteria prevailing in the data producerÂ´s location or discipline (e.g. data protection legislation, ethical review committees, etc.)Â",to do,"There is no evidence that the organisation asks for any information regarding the ethical collection or creation of data that may be confidential in nature, or there is no requirement to request this confirmation.","There are requests for confirmation that ethical standards for data collection or creation have been met, but these are on an ad hoc basis, or as and when the organisation or a staff member remembers.","There are regular requests for confirmation that the data collection or creation is in accordance with ethical criteria, but process has developed out of practice and there is no evident documentation or policy.",Requests for confirmation that the data collection or creation is in accordance with ethical criteria are conducted in compliance with the organisational policy.,Requests for confirmation are monitored. incidents in the procedure are recorded.,Reviews of the procedure of requesting confirmation that ethical standards are being followed are conducted at regular intervals. Adaption in the procedure are made to mitigate significant incidents.,
Organisational Infrastructure,"Confidentiality, Ethics and Disclosure Risk",RA,1.5.1.3,Confidentiality and disclosure,"The repository requires that data depositors ensure that data meet requirements of confidentiality and non-disclosure for data collected from human subjects. In some cases, the repository may alter sensitive data to create anonymised data that can be distributed to its user community [maps to: Annex 2, section 13] [CESSDA Statutes, section 7].Â",to do,Not applicable; not relevant; or there is no such activity.,"There is some awareness of the issue, but decisions and procedures are ad hoc and performed on a case-by-case basis; there are no written processes and procedures in place for dealing with confidentiality, disclosure and data protection issues; no predefined criteria or non-disclosure agreements/statements are available for depositors/users.","Depositors are repeatedly being informed of confidentiality issues, but no formal information template exists; checks are being performed on the deposited data, but there are no written procedures in place (some documentation may exist but it is incomplete).",Processes and procedures are in place; standardised information is provided to the depositor prior to the deposit; checks are performed on data after deposit; process and procedure descriptions for handling and altering sensitive data are in place.,"Processes and procedures are integrated into high level policies; there are regular reviews and updates of processes and procedures; there are mechanisms and procedures in place for staff training on confidentiality, disclosure risks and anonymisation.","The usage and success of confidentiality and disclosure mechanisms are continuously assessed, reviewed and updated; monitoring of wider legal framework (e.g. national and EU regulations); regular and formalised contact with relevant stakeholders; automated checks and anonymisation mechanisms may be in place.",
Organisational Infrastructure,"Confidentiality, Ethics and Disclosure Risk",RA,1.5.1.4,Confidentiality checks and anonymisation procedures,"The repository has mechanisms and procedures in place for altering sensitive data to create anonymised data that can be distributed to its user community [maps to: Annex 2, section 13] [CESSDA Statutes, section 7].Â",to do,Not applicable; not relevant; or there is no such activity.,"There is some awareness of the issue, but decisions and procedures are ad hoc and performed on a case-by-case basis; there are no written processes and procedures in place for dealing with confidentiality checks and anonymisation.","Confidentiality checks and anonymisation are repeatedly being performed on some types of data, but there are no formal or defined procedures or other documentation in place.",Processes and procedures are formalised and defined; confidentiality checks are performed on all relevant data; formalised anonymisation procedures are defined.,"There are regular reviews and updates of processes and procedures; there are mechanisms and procedures in place for staff training on confidentiality, disclosure risks and anonymisation",Regular review and updates of process and procedures based on technology and community watch; automated checks and anonymisation mechanisms may be in place.,
Organisational Infrastructure,"Confidentiality, Ethics and Disclosure Risk",RA,1.5.1.5,"Data protection, privacy","There are mechanisms in place to protect the anonymity of data subjects in accordance with applicable international, European and national regulations, as well as relevant ethical frameworks. [maps to: Annex 2, section 13] [CESSDA Statutes, section 7]Â",to do,No data protection mechanisms in place.,"There is some awareness of the issue, but decisions and procedures are ad hoc and performed on a case-by-case basis; there are no written processes and procedures in place for dealing with confidentiality, disclosure and data protection issues; no predefined criteria or non-disclosure agreements/statements are available for users.","Users are repeatedly being informed of confidentiality issues, but no formal information template exists; checks are being performed on data, but there are no written procedures in place (some documentation may exist but it is incomplete).","Mechanisms, processes and procedures for data protection are in place; standardised information is provided to users prior to access; licenses and conditions of use are defined and made available for users.","Processes and procedures are integrated into high level policies and objective; there are regular reviews and updates of processes and procedures; there are mechanisms and procedures in place for staff training on confidentiality, disclosure risks and anonymisation.",Regular review and updates of process and procedures based on technology and community watch; automated checks and anonymisation mechanisms may be in place.,
Organisational Infrastructure,"Confidentiality, Ethics and Disclosure Risk",RA,1.5.1.6,Security levels,"Security levels for data objects are defined, implemented, and information about the security levels is widely disseminated.Â",to do,"There is no evidence of awareness of security issues, or it is not required.","Responsibility of process and procedure is left to the individual, and actions are performed on an ad hoc or case-by-case basis. Work outcomes are produced and the specific goals of the process area are satisfied. However the processes are unstructured and errors are likely. Activities related to the processes are uncoordinated, irregular and not repeatable.","The setting and usage of security levels follow a regular pattern, by repeatable processes and procedures which are being followed by different people undertaking the same task. However, processes and procedures are not necessarily documented (and it is not communicated). Security levels are not formally defined.",The setting and usage of security levels are documented and formalised.,"Security levels are managed, reviewed and controlled on a regular basis to reflect the needs and requirements of the repository and its designated community.",The organisation has attained ISO27001 accreditation.,
Organisational Infrastructure,"Confidentiality, Ethics and Disclosure Risk",RA,1.5.2.1,Removal of Digital Objects from the Data Holding.,"The organisation has defined conditions for the removal of items from its data holdings. Possible reason for removal: copyright violations, legal requirements and proven violations, national security, falsified research, confidentiality concerns, etc.",to do,"There is no evidence of a removals policy, or not applicable.","There are no defined conditions or policy for the removal of items. Any removal is undertaken upon request, with little consultation with the data owner and is not documented.",The organisation has internal specifications for removal of items. The data owner is consulted and an agreement to remove is made.,There is a clear and publicly available policy for the removal of items. The procedure is defined and communicated to all stakeholders before the initiation of the procedure for removal.,The organisation monitors and measures the procedures for removal of items and the outcomes.,The policy and procedures for removal of items are regularly reviewed and modified to ensure that they fulfil the needs of all stakeholders.,
Organisational Infrastructure,Documentation,GRA,1.6.1.1,Documentation,There is a single defined and dedicated location and single format for documentation (e.g. a document management system with a versioning system). This is known throughout the organisation.Â,to do,There is no evidence for a defined and dedicated location for documentation.,"There is a location for documentation but it is not widely known within the organisation and is rarely, or inconsistently, used. There is no evidence of a documentation management system in use.","Through repeated practice a location and format for documentation is established, but no role is responsible for the management and maintenance of the documentation location. It is widely known throughout the organisation.",There is a single dedicated location and single format for documentation in the form of a documentation system. There are roles responsible for the management and maintenance of the documentation location. It is widely known throughout the organisation.,The use of the dedicated documentation location is monitored and issues with its use are recorded.,"At regular intervals the use, processes and issues of the documentation solution are reviewed. If required changes to the documentation system and procedures are made and communicated in accordance with the communication plan.",
Organisational Infrastructure,Documentation,GRA,1.6.1.2,Documentation control,"The procedures for controlling documentation such as, creation and approval, communication and distribution, review, versioning and change tracking, are documented.",to do,There is no evidence of any procedures for documentation control.,"There are some procedures for controlling documentation, but these are usually carried out by an individual and are not widely used within the organisation.","Procedures for controlling documentation have developed from repeated practice, but are not formally described. The procedures are not formally communicated within the organisation.","The procedures for controlling documentation such as, creation and approval, communication and distribution, review, versioning and change tracking, are fully documented in the document location. Information about these procedures are communicated throughout the organisation and if necessary training is provided.",The documentation control procedures are monitored and issues are recorded.,At regular intervals the procedures for controlling documentation are reviewed. Any changes to a procedure is documented and communicated in accordance with the communication plan.,
Organisational Infrastructure,Documentation,GEA,1.6.1.3,Service management documentation,"Specific documents to be produced and maintained relating to a provided service, such as, service management, policies, plans, and process descriptions, are approved by the responsible service manager and senior management",to do,There is no evidence of an approval process.,Approval of key documentation is ad hoc and incomplete; possibly only by the service manager.,"There is a process for approval of key or specific documents, but this is not formalised and not always followed.",There is a formal and documented approval procedure for all key documentation.,The approval procedure is monitored and issues are recorded.,At regular intervals the approval procedure for key documentation is reviewed. Any changes to the procedure is documented and communicated in accordance with the communication plan.,
Organisational Infrastructure,Management Oversight,GRA,1.7.1.1,Service owner,"The role of a â€˜service ownerâ€™ is defined, and this role is assigned to a management representative of the organisation, who is involved and responsible for the delivery of the service to customers.Â",to do,There is no service owner or person responsible for a service.,"Senior management deal with service management on a reactive basis. Senior management are aware of their responsibilities, but communication of policies and goals is not effective.",A service owner role has been assigned but not to a management representative. Goals and policies are consistently communicated through defined communication channels.,The role of the service owner is defined and documented. It has been assigned to a management representative. Senior management's The responsibilities of senior management are clearly defined and documented. The role of a senior responsible service owner has been defined and assigned.,The roles and effective management of the service are monitored and issues are recorded.,"At regular intervals the services owner roles and their assignments are reviewed and altered, documented and communicated as required.",
Organisational Infrastructure,Management Oversight,GRA,1.7.1.2,Service delivery policy for specific Designated Community,For each service provided to a designated community there is a specific service policy and service management plan that is reviewed at regular intervals with the designated community.Â,to do,There is no evidence for a service delivery policy specifically for the service or a general service delivery policy.,Service level and service management are defined informally. There is no consultation with the designated communities that may use the service. There is no formal policy.,Through repeated activity there is an informal service delivery agreement with designated communities and an informal service management plan. Any review of the service level or management plan is on a reactive basis.,The specific service delivery policy and service management plan are defined and described in consultation with designated communities where appropriate to do so.,The specific service delivery policy and management plan are monitored and any incidents addressed. Any issues raised by the organisation or designated communities are recorded for review.,At regular intervals the service delivery policy and management plan are reviewed. Any amendments made are recorded and the updated policy and plan are communicated to the appropriate stakeholders in accordance with the communication plan.,
Organisational Infrastructure,Management Oversight,GEA,1.7.1.3,Service delivery policy,"A general service delivery policy is defined and documented, and it is approved by senior management. If there are specific service policies for each and every service then a general service delivery policy is desirable it is not essential.",to do,There is no service policy documented.,Service delivery is agreed on a case by case basis. There is no documented policy.,"There is the regular delivery of a service based upon repeated (common) practice, but no formal written policy in place.","A general service policy is defined and documented, and it is approved by senior management. The policy is disseminated to stakeholders and to all within the organisation or infrastructure.",Service provision is monitored and issues pertaining to the service delivery policy are tracked and evaluated.,The general service delivery policy is reviewed at regular intervals and updated if needed.,
Digital object management,Data Acquisition and Ingest,RA,2.1.1.1,Methods for acquisition and selection of data,The repository has a methodical approach to identify and communicate with potential data depositors.,"Are there agreements and documentation to support acquisition and selection of data, and aid communication with potential data depositors?",No methodical approach,"Some ad hoc approaches towards relevant communities;no procedures for approaching and communicating with potential data depositors; no agreements with government, organisations or other institutions.","Established regular contacts with some communities and users, but lacks formalised agreements to support the acquisition and selection methods.","Formal agreements in place, either with government, funders or research institutions (e.g. funded researchers are obliged to deposit data at the repository).","Agreements and methods are regularly reviewed and updated, and are monitored for compliance with policies, processes and procedures.",Contact and communication methods/mechanisms are regularly reviewed based on surveys or other outreach mechanisms towards Designated Community and other relevant stakeholders.,
Digital object management,Data Acquisition and Ingest,RA,2.1.1.2,Documentation/ Metadata requirements,"The repository clearly specifies the information (documentation, metadata) that needs to be associated with the data that is to be deposited. This is necessary so that the deposited information can be interpreted and re-used.",Are supplementary documentation and metadata requirements clearly defined for the data to aid future understandability and reuse?,Not specified; no awareness.,"There is some awareness of the documentation and metadata that is needed for deposit, but it is not formalised; information communicated to users/depositors on an ad hoc basis.",Documentation and metadata requirements implicitly defined by acquisition and deposit activities and routines; no formal or explicit requirements in policy or other written documents.,A written formal specification of required information is explicitly defined (e.g. in a collection policy); requirements are compliant with metadata standards that are used and can be understood by Designated Community (e.g. DDI); metadata requirements are accessible and communicated to users/depositors.,Documentation and metadata requirements are aligned with policies and other processes and procedure documents. There are regular reviews and assessments (of success) of the information requirements.,"Regular reviews and updates of requirements based on technology watch, monitoring of, and communication with Designated Community and other relevant stakeholders.",
Digital object management,Data Acquisition and Ingest,RA,2.1.1.3,Collection policy,"The repository uses a collection policy to address and guide the data acquisition, selection and ingestion of data and metadata.",Is there a collection policy to guide selection of data and metadata?,"Not applicable, or there is no awareness of a collection policy.",There is no collection policy; acquisition and ingestion is performed on an ad hoc basis.,"A collection policy is not formally defined, but there are some repeatable procedures in place; acquisition and ingestion follow a regular pattern - they have developed to the stage where similar procedures are followed by different people undertaking the same task.",A collection policy is defined and it is connected to specific processes and procedures.,The collection policy is monitored and measured for compliance with processes and procedures; actions are taken where processes appear not to be working effectively or not to be in accordance with the policy.,"At regular intervals processes and procedures are measured and assessed; processes, functions and mechanisms are under constant improvement and continuously integrated into the collection policy.",
Digital object management,Data Acquisition and Ingest,RA,2.1.2.1,Systems for submission,"The repository has in place a system (interfaces, devices) that can properly deal with the submission of information from a depositor.",Is there an interface or system in place to deal with submission of data?,No devices or interfaces for data depositing are in place.,"Information is being deposited on an ad hoc basis, with case-by-case agreements; no written procedures in place; deposits are accommodated to the individual depositor; information is deposited without considering formats, data and metadata quality, virus checks, integrity/authenticity, etc.",Some devices/interfaces for deposit in place; to a large extent dependent on personal contact between repository and depositor (guidance); minor automation.,A complete set of devices/interfaces for information deposits are in place; written processes and procedures are in place; deposit procedures to a large extent automated.,Deposits systems are monitored and measured; adjustments to procedures made accordingly.,"Deposits are monitored and measured; regular contact with user communities; deposit devices, interfaces and procedures are adjusted and optimised based on technology watch, monitoring of, and communication with Designated Community and other relevant stakeholders.",
